time,t,o,h,l,c,hour,minute,month,day,year,Open_Change,High_Change,Low_Change,Close_Change,Length,Sign
2024-03-02 06:15,2024-03-02 06:15:00,0.6259673258813421,0.5987007854567024,0.6294341965235887,0.6122707720172083,6,15,3,2,2024,-0.3641570585203387,0.050892310398557926,0.19071457932604052,-0.4058400201610859,-0.4365270568119675,0
2024-03-02 06:30,2024-03-02 06:30:00,0.6126397248495259,0.583954947389223,0.6326933309684298,0.6253565768621262,6,30,3,2,2024,-0.36257444354182256,-0.4184406105288009,0.08288405783896816,0.3391997507387686,0.31882612440810626,1
2024-03-02 06:45,2024-03-02 06:45:00,0.6250169706294986,0.5820777552734284,0.640586200780418,0.625379216662894,6,45,3,2,2024,0.3212911118528939,-0.06151063791032031,0.2153341871720054,-0.007893644391397859,-0.03457819174122795,0
2024-03-02 07:00,2024-03-02 07:00:00,0.6249717156175034,0.5736797905448803,0.6452642781128066,0.6266923251075404,7,0,3,2,2024,-0.0093098080133458,-0.242522897057684,0.1233825493844352,0.026373585805920176,0.004257447396141224,1
2024-03-02 07:15,2024-03-02 07:15:00,0.626012580893334,0.5736797905448803,0.6477474281660164,0.6266923251075404,7,15,3,2,2024,0.019578594611427542,-0.009406437514167143,0.06064394264419906,-0.008494824515180043,-0.025516542609140606,1
2024-03-04 03:45,2024-03-04 03:45:00,0.6355161334117754,0.653781554117474,0.6518934019155723,0.6556486302920534,3,45,3,4,2024,0.24465512626211322,2.2149123976069265,0.10813657326274154,0.7603665961355874,0.5304803577061419,1
2024-03-04 04:00,2024-03-04 04:00:00,0.6529166855229204,0.6295509558859851,0.6526693863072005,0.6657459814353647,4,0,3,4,2024,0.45448230309784765,-0.679958886327889,0.011863437347198925,0.25925277122941015,0.3214151670172202,1
2024-03-04 04:15,2024-03-04 04:15:00,0.6640494184730972,0.6170775082744651,0.641473040085136,0.64140819560788,4,15,3,4,2024,0.28761392520862195,-0.35495111132630963,-0.33006455531420853,-0.6535468557306955,-0.6928422751180201,0
2024-03-04 04:30,2024-03-04 04:30:00,0.6399737520930437,0.6422961023563714,0.6488116353316786,0.6791261036902901,4,30,3,4,2024,-0.6472987583346826,0.6895818939067031,0.19940128753722927,0.992321092440563,1.074179305628086,1
2024-03-04 04:45,2024-03-04 04:45:00,0.6776711770828626,0.6660080027663896,0.6983637814827959,0.6998868009961532,4,45,3,4,2024,0.9938599742224354,0.6471132998771366,1.4051595489347586,0.5414066234462457,0.5893810770643799,1
2024-03-04 05:00,2024-03-04 05:00:00,0.6983074625514775,0.6823346341945354,0.7152358992550536,0.7133574824541564,5,0,3,4,2024,0.5394254417821984,0.4421778070744095,0.4705173660501968,0.34796675010444084,0.3841994502891293,1
2024-03-04 05:15,2024-03-04 05:15:00,0.713037968955063,0.6686755915625173,0.6226942178077334,0.601743264659273,5,15,3,4,2024,0.3823550108303613,-0.3869440990632467,-2.645410399420686,-2.960183305307448,-3.2281622501297695,0
