time,open,close,high,low
1712029500,47490.75,47500.3,47541.0,47410.45
1712030400,47497.7,47688.7,47694.55,47484.05
1712031300,47689.25,47580.55,47706.4,47560.75
1712032200,47584.8,47575.75,47632.4,47564.85
1712033100,47577.9,47586.1,47627.5,47558.75
1712034000,47586.55,47596.15,47606.45,47546.4
1712034900,47593.5,47568.85,47622.45,47565.0
1712035800,47568.0,47623.25,47697.35,47550.85
1712036700,47619.55,47615.7,47631.55,47599.1
1712037600,47618.2,47605.75,47649.2,47602.25
